pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log	perf_samples	perf_unique_stacks	perf_summary_json	perf_flamegraph_svg	perf_report_txt	perf_folded	perf_data
1	native	master	v0	100	0	3.12	4.17	41.67	24.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.51	1128304	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/time.txt	1738	239	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v0/perf.data
1	native	master	v1	100	0	3.35	3.82	38.25	26.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.37	1127604	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/time.txt	1737	253	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v1/perf.data
1	native	master	v2	100	0	3.12	3.71	37.10	26.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.01	1126944	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/time.txt	1718	257	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/master/v2/perf.data
1	native	bump PMA	v0	100	0	3.09	1.30	12.95	77.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.77	1193236	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/time.txt	1248	256	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v0/perf.data
1	native	bump PMA	v1	100	0	3.31	1.29	12.93	77.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.82	1192140	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/time.txt	1306	266	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v1/perf.data
1	native	bump PMA	v2	100	0	3.23	1.29	12.89	77.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.73	1194016	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/time.txt	1243	245	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/streaming/v2/perf.data
1	native	btree	v0	100	0	3.47	1.39	13.87	72.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.20	1324264	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/time.txt	1465	290	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v0/perf.data
1	native	btree	v1	100	0	3.45	1.37	13.70	73.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.05	1324612	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/time.txt	1455	273	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v1/perf.data
1	native	btree	v2	100	0	3.78	1.41	14.06	71.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.42	1323116	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/time.txt	1419	277	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/native/btree/v2/perf.data
1	docker	master	v0	100	0	2.37	4.10	40.96	24.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.78	30280	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_175042-sol-100x2-tracy-perf/runs/pass1/docker/master/v0/perf.data
