pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log
1	native	master	v0	100	0	126.859732908	3.970386211	39.70386211	25.186466677460462	0	10	0	1	1786.859375	1786.859375	0	0	927.75	1779.3984375	7.4609375	5463245	0	2:11.10	13657776	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v0/time.txt
1	native	master	v1	100	0	125.128020167	3.936519966	39.36519966	25.403148177503745	0	10	0	1	1857.55078125	1857.55078125	0	0	927.7734375	1850.08984375	7.4609375	5463200	0	2:09.34	13657188	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v1/time.txt
1	native	master	v2	100	0	125.123059671	3.932835807	39.32835807	25.42694506137566	0	10	1	1	1857.0703125	1857.0703125	0	0	927.7734375	1850.046875	7.4609375	5463201	0	2:09.32	13658004	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/master/v2/time.txt
1	native	bump PMA	v0	100	0	3.038038662	1.321384313	13.213843129999999	75.67821035574833	0	5	0	1	1167.86328125	1167.86328125	86.51171875	16384.00390625	927.74609375	1073.5546875	94.30859375	312094	2	0:04.56	1194068	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v0/time.txt
1	native	bump PMA	v1	100	0	3.053192035	1.318784139	13.187841389999999	75.82742091198293	0	5	0	1	1167.7265625	1167.7265625	86.51171875	16384.00390625	927.76953125	1073.66796875	94.05859375	312113	2	0:04.58	1193612	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v1/time.txt
1	native	bump PMA	v2	100	0	3.167912669	1.326008795	13.260087949999999	75.41428109456847	0	5	0	1	1167.8828125	1167.8828125	86.51171875	16384.00390625	927.76953125	1073.57421875	94.30859375	312117	2	0:04.69	1193524	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/streaming/v2/time.txt
1	native	btree	v0	100	0	3.32467287	1.396748688	13.96748688	71.59484083223997	0	5	0	1	1296.14453125	1296.14453125	150.8671875	16448.00390625	927.74609375	1137.5625	158.58203125	344956	2	0:04.95	1324812	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v0/time.txt
1	native	btree	v1	100	0	3.314253218	1.417371906	14.173719060000002	70.55311282570321	0	5	0	1	1296.00390625	1296.00390625	150.86328125	16448.00390625	927.76953125	1137.67578125	158.328125	344974	2	0:04.98	1324724	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v1/time.txt
1	native	btree	v2	100	0	3.316852194	1.469749181	14.69749181	68.03882001959082	0	5	0	1	1296.1015625	1296.1015625	150.86328125	16448.00390625	927.76953125	1137.5859375	158.515625	344975	2	0:05.03	1324456	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/native/btree/v2/time.txt
1	docker	master	v0	100	0	2.655181122	3.834298938	38.34298938	26.08038695390839	0	10	0	0	1063.71875	1063.71875	0	0	928	1056.54296875	7.17578125	21058	0	0:06.83	29700	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/docker/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/docker/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_135129-sol-100x2/runs/pass1/docker/master/v0/time.txt
