pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log
1	native	master	v0	100	0	2.452200605	3.801333196	38.01333196	26.306560052464288	0	10	0	1	1063.44140625	1063.44140625	0	0	927.75	1056.29296875	7.1484375	286869	0	0:06.41	1087352	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v0/time.txt
1	native	master	v1	100	0	2.568589415	4.000953382	40.00953382	24.994042782376017	0	10	0	1	1063.6015625	1063.6015625	0	0	927.79296875	1056.390625	7.2109375	286893	0	0:06.71	1086632	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v1/time.txt
1	native	master	v2	100	0	2.434476745	3.855327566	38.553275660000004	25.938133216460393	0	10	0	1	1063.68359375	1063.68359375	0	0	927.79296875	1056.34765625	7.3359375	286892	0	0:06.44	1087260	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/master/v2/time.txt
1	native	bump PMA	v0	100	0	3.020395846	1.311074024	13.11074024	76.2733439679528	0	5	0	1	1167.8671875	1167.8671875	86.51171875	16384.00390625	927.74609375	1073.55859375	94.30859375	312095	2	0:04.48	1193948	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v0/time.txt
1	native	bump PMA	v1	100	0	3.011739317	1.304911992	13.04911992	76.63352058458207	0	5	0	1	1167.7265625	1167.7265625	86.51171875	16384.00390625	927.76953125	1073.66796875	94.05859375	312113	2	0:04.48	1193072	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v1/time.txt
1	native	bump PMA	v2	100	0	3.0223821810000002	1.307015869	13.07015869	76.51016515699244	0	5	0	1	1167.7578125	1167.7578125	86.51171875	16384.00390625	927.76953125	1073.57421875	94.18359375	312117	2	0:04.50	1192988	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/streaming/v2/time.txt
1	native	btree	v0	100	0	3.066545792	1.406183044	14.061830440000001	71.11449709672362	0	5	0	1	1295.96484375	1295.96484375	150.8671875	16448.00390625	927.74609375	1137.5703125	158.39453125	344953	2	0:04.63	1324480	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v0/time.txt
1	native	btree	v1	100	0	3.197831526	1.395859561	13.95859561	71.64044492295454	0	5	0	1	1296.0703125	1296.0703125	150.86328125	16448.00390625	927.76953125	1137.6796875	158.390625	344975	2	0:04.79	1323544	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v1/time.txt
1	native	btree	v2	100	0	3.158134498	1.460795991	14.60795991	68.45582861405867	0	5	0	1	1295.9140625	1295.9140625	150.86328125	16448.00390625	927.76953125	1137.5859375	158.328125	344974	2	0:04.82	1325348	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/native/btree/v2/time.txt
1	docker	master	v0	100	0	2.385004114	4.120070875	41.20070875	24.27142712684524	0	10	0	0	1063.7109375	1063.7109375	0	0	928.01953125	1056.53515625	7.17578125	22589	0	0:06.83	30036	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/docker/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/docker/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_161000-sol-100x2/runs/pass1/docker/master/v0/time.txt
