pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log	perf_samples	perf_unique_stacks	perf_summary_json	perf_flamegraph_svg	perf_report_txt	perf_folded	perf_data	tracy_trace	tracy_capture_log	tracy_size_bytes	tracy_frames	tracy_time_span_s	tracy_zones
1	native	master	v0d	100	0	2.65	4.01	40.08	24.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.40	1086712	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/time.txt	1660	338	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0d/trace-capture.log	0	0	0	0
1	native	master	v0f	100	0	185.40	86.70	866.95	1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	5:02.02	20927456	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/time.txt	55227	592	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v0f/trace-capture.log	0	0	0	0
1	native	master	v1d	100	0	2.66	3.97	39.69	25.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.89	1088108	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/time.txt	1610	325	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1d/trace-capture.log	0	0	0	0
1	native	master	v1f	100	0	185.14	86.29	862.86	1.16	0	0	0	0	0	0	0	0	0	0	0	0	0	4:48.69	20927920	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/time.txt	55033	570	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v1f/trace-capture.log	0	0	0	0
1	native	master	v2d	100	0	2.54	4.02	40.18	24.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.80	1087052	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/time.txt	1689	346	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2d/trace-capture.log	0	0	0	0
1	native	master	v2f	100	0	185.07	86.86	868.55	1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	4:49.14	20927464	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/time.txt	55230	586	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/v2f/trace-capture.log	0	0	0	0
1	native	master	h51000d	101	0	2.50	4.08	40.43	24.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.83	1087944	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/time.txt	1711	322	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000d/trace-capture.log	0	0	0	0
1	native	master	h51000f	101	0	185.41	87.23	863.65	1.16	0	0	0	0	0	0	0	0	0	0	0	0	0	4:48.37	20946144	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/time.txt	55106	569	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/master/h51000f/trace-capture.log	0	0	0	0
1	native	bump PMA	v0d	100	0	3.16	10.40	103.97	9.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0:13.94	1105572	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/time.txt	3060	247	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0d/trace-capture.log	0	0	0	0
1	native	bump PMA	v0f	100	0	215.09	134.95	1349.49	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	6:06.16	27073080	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/time.txt	70724	1671	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v0f/trace-capture.log	0	0	0	0
1	native	bump PMA	v1d	100	0	3.20	9.96	99.62	10.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0:13.40	1106172	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/time.txt	3023	232	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1d/trace-capture.log	0	0	0	0
1	native	bump PMA	v1f	100	0	214.32	135.99	1359.88	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	6:06.63	27073588	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/time.txt	70858	1663	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v1f/trace-capture.log	0	0	0	0
1	native	bump PMA	v2d	100	0	3.07	10.47	104.73	9.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0:13.86	1106240	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/time.txt	3156	236	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2d/trace-capture.log	0	0	0	0
1	native	bump PMA	v2f	100	0	215.02	134.45	1344.55	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	6:05.64	27072616	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/time.txt	70583	1629	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/v2f/trace-capture.log	0	0	0	0
1	native	bump PMA	h51000d	101	0	3.01	10.07	99.72	10.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0:13.35	1107228	0	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/time.txt	3008	259	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260219_154120-sol-8fixtures-native-tracearg-v0sym/runs/pass1/native/streaming/h51000d/trace-capture.log	0	0	0	0
