pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log	perf_samples	perf_unique_stacks	perf_summary_json	perf_flamegraph_svg	perf_report_txt	perf_folded	perf_data	tracy_trace	tracy_capture_log	tracy_size_bytes	tracy_frames	tracy_time_span_s	tracy_zones
1	native	master	v0	100	0	3.10	4.46	44.56	22.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0:08.09	1425520	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/time.txt	2151	456	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v0/trace-capture.log	6923442	3	7.62	1105
1	native	master	v1	100	0	3.07	4.39	43.88	22.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.91	1424160	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/time.txt	2193	455	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v1/trace-capture.log	6743082	3	7.5	1105
1	native	master	v2	100	0	3.04	4.46	44.57	22.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.96	1501676	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/time.txt	2396	491	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/master/v2/trace-capture.log	14980089	3	7.54	1105
1	native	bump PMA	v0	100	0	3.62	1.44	14.44	69.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.61	1563716	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/time.txt	1743	404	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v0/trace-capture.log	7432045	3	5.11	1105
1	native	bump PMA	v1	100	0	3.62	1.40	14.02	71.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.51	1557788	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/time.txt	1723	388	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v1/trace-capture.log	7239731	3	5.06	1105
1	native	bump PMA	v2	100	0	3.61	1.43	14.28	70.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.53	1555096	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/time.txt	1731	376	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/streaming/v2/trace-capture.log	7173282	3	5.09	1105
1	native	btree	v0	100	0	3.71	1.47	14.68	68.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.74	1686640	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/time.txt	1841	374	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v0/trace-capture.log	7503136	3	5.26	1105
1	native	btree	v1	100	0	3.72	1.48	14.84	67.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.72	1685784	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/time.txt	1806	384	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v1/trace-capture.log	7460201	3	5.27	1105
1	native	btree	v2	100	0	3.72	1.49	14.86	67.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.72	1682636	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/time.txt	1765	381	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/native/btree/v2/trace-capture.log	7169620	3	5.25	1105
1	docker	master	v0	100	0	2.43	4.03	40.28	24.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.78	29908	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/perf.data	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/trace.tracy	/shared/nockchain-ext4-bench/artifacts/runs/20260217_183413-sol-100x2-tracy-perf-tracy-capture/runs/pass1/docker/master/v0/trace-capture.log	0	0	0	0
