pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log	perf_samples	perf_unique_stacks	perf_summary_json	perf_flamegraph_svg	perf_report_txt	perf_folded	perf_data
1	docker	master	v2	100	0	2.34	4.12	41.21	24.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.77	30332	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v2/perf.data
1	docker	bump PMA	v0	100	0	2.93	1.35	13.45	74.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.72	30168	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v0/perf.data
1	docker	bump PMA	v1	100	0	2.94	1.31	13.15	76.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.64	29764	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v1/perf.data
1	docker	bump PMA	v2	100	0	2.89	1.32	13.25	75.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.63	31064	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/streaming/v2/perf.data
1	docker	btree	v0	100	0	2.95	1.40	13.95	71.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.80	30676	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v0/perf.data
1	docker	btree	v1	100	0	2.98	1.41	14.12	70.80	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.85	30452	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v1/perf.data
1	docker	btree	v2	100	0	3.03	1.42	14.18	70.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.94	29640	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/btree/v2/perf.data
2	native	master	v0	100	0	2.59	3.80	38.01	26.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.60	1085228	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/time.txt	1610	303	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v0/perf.data
2	native	master	v1	100	0	2.53	3.76	37.60	26.60	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.46	1086604	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/time.txt	1645	315	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v1/perf.data
2	native	master	v2	100	0	2.71	3.82	38.16	26.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.70	1086924	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/time.txt	1652	309	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass2/native/master/v2/perf.data
